Topside Entries and Other Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Code,Col C,Col D,Col E,Col F,Currency,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,
2402,,,,,CAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,,,,,CAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5101,,,,,USD,"1,847,640","1,847,640","1,847,640","1,847,640","1,847,640","1,706,655",,,"1,706,655","1,706,655","1,706,655","1,706,655","1,706,655","1,706,655","1,706,655","1,706,655","1,706,655","1,706,655","1,706,655","1,706,655","1,706,655","1,706,655","1,706,655","1,706,655","1,392,971","1,392,971","1,392,971","1,392,971","1,392,971","1,392,971","1,392,971","1,392,971","1,392,971","1,392,971","1,392,971","1,392,971","630,850","630,850","630,850","630,850","630,850","630,850",,,,,,,
5103,,,,,USD,,,,,,"-337,682","-337,682","-337,682","-337,682","-337,682","-337,682","-337,682","-1,075,468","-1,075,468","-1,075,468","-1,075,468","-1,075,468","-1,075,468","-1,075,468","-1,075,468","-1,075,468","-1,075,468","-1,075,468","-1,075,468","-1,485,271","-1,485,271","-1,485,271","-1,485,271","-1,485,271","-1,485,271","-1,485,271","-1,485,271","-1,485,271","-1,485,271","-1,485,271","-1,485,271","-1,485,271","-1,485,271","-1,485,271","-1,485,271","-1,485,271","-1,485,271",,,,,,,
5104,,,,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5105,,,,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5106,,,,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5107,,,,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5110,,,,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5111,,,,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
